Stat-Xplore,,,,,,,,
,,,,,,,,
Relative Low Income (I II III IV V VI),,,,,,,,
National - Regional - LA - OAs (GB) by Year,,,,,,,,
Counting: Relative Low Income,,,,,,,,
,,,,,,,,
Filters:,,,,,,,,
Default Summation,Relative Low Income,,,,,,,
,,,,,,,,
Year,2020/21,2020/21 - Annotations,2021/22,2021/22 - Annotations,2022/23,2022/23 - Annotations,2023/24,2023/24 - Annotations
National - Regional - LA - OAs (GB),,,,,,,,
Haringey 036C,60,,58,,67,,78,
Haringey 036D,30,,21,,33,,27,
Haringey 037A,210,,226,,235,,214,
Haringey 037B,132,,140,,132,,173,
Haringey 037C,120,,119,,102,,138,
Haringey 037D,200,,224,,223,,217,
Islington 001A,67,,53,,82,,85,
Islington 001B,29,,27,,38,,44,
Islington 001C,101,,97,,118,,128,
Islington 001D,53,,66,,91,,77,
Islington 001E,66,,79,,90,,82,
Islington 001F,70,,70,,105,,101,
Islington 002A,63,,55,,68,,78,
Islington 002B,39,,50,,53,,51,
Islington 002C,61,,61,,70,,83,
Islington 002D,24,,27,,24,,39,
Islington 002E,96,,78,,80,,105,
Islington 002F,62,,68,,66,,58,
Islington 003A,67,,100,,114,,107,
Islington 003B,32,,24,,31,,22,
Islington 003C,62,,46,,73,,59,
Islington 003D,42,,59,,64,,80,
Islington 003E,33,,31,,35,,40,
Islington 003F,62,,61,,73,,72,
Islington 004A,49,,41,,43,,44,
Islington 004B,35,,33,,34,,33,
Islington 004C,34,,42,,43,,45,
Islington 004D,64,,80,,96,,83,
Islington 004E,38,,42,,55,,59,
Islington 005A,57,,62,,77,,76,
Islington 005B,174,,196,,216,,235,
Islington 005C,105,,132,,133,,158,
Islington 005D,131,,125,,156,,153,
Islington 005E,162,,164,,186,,172,
Islington 006A,36,,23,,20,,29,
Islington 006B,24,,24,,17,,21,
Islington 006C,86,,76,,113,,136,
Islington 006D,49,,69,,77,,73,
Islington 006F,9,,6,,7,,6,
Islington 006G,28,,19,,17,,19,
Islington 007A,28,,34,,40,,57,
Islington 007B,98,,95,,118,,100,
Islington 007C,13,,25,,28,,19,
Islington 007D,44,,34,,56,,69,
Islington 008A,16,,17,,25,,21,
Islington 008B,14,,12,,21,,16,
Islington 008C,12,,26,,30,,23,
Islington 008D,28,,17,,37,,23,
Islington 009A,30,,44,,44,,42,
Islington 009B,78,,102,,107,,126,
Islington 009C,34,,46,,64,,74,
Islington 009D,29,,21,,26,,29,
Islington 009E,65,,48,,71,,81,
Islington 010A,60,,60,,76,,78,
Islington 010B,54,,52,,66,,75,
Islington 010C,82,,85,,98,,74,
Islington 010D,70,,75,,94,,113,
Islington 010E,68,,62,,87,,77,
Islington 011C,22,,28,,34,,20,
Islington 011D,109,,101,,99,,119,
Islington 011E,31,,30,,42,,43,
Islington 011F,31,,26,,31,,30,
Islington 011G,39,,36,,37,,43,
Islington 011H,63,,62,,76,,64,
Islington 011I,99,,90,,92,,92,
Islington 012A,66,,60,,51,,57,
Islington 012B,131,,145,,151,,148,
Islington 012C,48,,52,,41,,47,
Islington 012D,66,,52,,65,,60,
Islington 012E,106,,126,,107,,120,
Islington 013A,21,,22,,31,,41,
Islington 013B,16,,16,,34,,23,
Islington 013C,12,,21,,22,,17,
Islington 013D,80,,69,,54,,55,
Islington 013E,41,,35,,30,,37,
